id,y,y_pred,neuron
498,3.45,3.51815,0
498,1.75,1.87203,1
498,1.35,3.67785,2
498,0.35,0.392475,3
498,10.3,8.30763,4
498,1.75,1.9326,5
498,1.55,1.0907,6
498,2.15,2.67598,7
498,6.05,5.7169,8
498,4.05,4.51171,9
498,3.1,3.60908,10
498,4.15,3.09909,11
498,5.3,5.75438,12
498,3.15,3.40844,13
498,3.55,3.84547,14
498,3.95,3.62606,15
498,2.75,3.37103,16
498,0.55,0.700345,17
498,2.5,6.117,18
498,1.45,2.35751,19
498,5.1,4.18502,20
498,6.4,6.30856,21
498,5.8,4.20477,22
498,1.6,1.61618,23
498,3.05,0.0,24
498,1.95,2.31504,25
498,3.9,5.74099,26
498,2.25,2.26169,27
498,4.2,5.70853,28
498,0.95,0.0,29
498,3.4,3.80972,30
498,3.45,0.0,31
498,2.25,0.0,32
498,0.95,0.649701,33
498,2.85,3.39189,34
498,1.65,0.0,35
498,2.1,1.72323,36
2,4.7,4.1447,0
2,2.6,3.34448,1
2,2.8,1.90224,2
2,0.65,0.19023,3
2,10.65,8.38527,4
2,1.4,1.59005,5
2,1.9,1.3359,6
2,1.05,1.89444,7
2,9.5,6.93349,8
2,7.35,5.14618,9
2,4.45,3.5382,10
2,4.75,3.3558,11
2,4.65,4.4465,12
2,5.25,4.54724,13
2,4.9,3.83533,14
2,3.15,2.21065,15
2,3.6,3.03353,16
2,1.3,1.94611,17
2,3.2,2.5737,18
2,3.05,2.74306,19
2,6.65,4.62386,20
2,6.6,6.27708,21
2,10.85,8.0455,22
2,1.2,1.36109,23
2,4.7,0.0,24
2,4.6,3.18014,25
2,4.75,4.32526,26
2,4.05,2.2428,27
2,5.9,4.29741,28
2,1.6,0.0,29
2,3.05,3.92083,30
2,4.45,0.0,31
2,2.05,0.0,32
2,0.45,0.523256,33
2,4.1,3.48287,34
2,1.55,0.0,35
2,1.6,1.82066,36
642,1.95,1.69726,0
642,1.05,0.622465,1
642,1.55,0.990443,2
642,0.8,0.194312,3
642,10.6,7.3538,4
642,0.8,0.75905,5
642,0.75,0.96555,6
642,0.55,0.469485,7
642,4.6,3.23772,8
642,3.95,2.34654,9
642,4.15,2.41728,10
642,4.35,2.65556,11
642,3.5,3.76844,12
642,2.6,1.37546,13
642,4.0,2.76115,14
642,0.8,0.546732,15
642,1.45,1.4256,16
642,0.3,0.0,17
642,2.0,1.12131,18
642,2.15,1.62509,19
642,5.95,4.09171,20
642,3.95,2.83278,21
642,8.3,7.39028,22
642,0.45,0.4736,23
642,1.95,0.0,24
642,1.55,1.13393,25
642,4.75,3.43325,26
642,2.0,1.82261,27
642,2.8,2.68709,28
642,0.85,0.0,29
642,3.85,2.25008,30
642,1.1,0.0,31
