neuron,si
0,0.00137244066745
1,0.00214665119778
2,0.00167781743194
3,0.00183559866129
4,0.0012140652586
5,0.00175429959474
6,0.0017811445908
7,0.00238556403344
8,0.00118469710033
9,0.0013743231077
10,0.00124735356011
11,0.00137878251231
12,0.00138623684216
13,0.0014756116492
14,0.00146171937799
15,0.00214478699941
16,0.00171539418799
17,0.00293851891278
18,0.00187294299057
19,0.00124148541005
20,0.00130987064198
21,0.0013642372597
22,0.00175603075008
23,0.00224866190242
24,0.00136044828651
25,0.00153124261013
26,0.0012344801154
27,0.0015996800325
28,0.00129959851992
29,0.00169727498203
30,0.00162687709449
31,0.00176176802307
32,0.00133521995465
33,0.00240375155239
34,0.00122021106906
35,0.00171702384221
36,0.00129648681603
